
22,9,11,8,28,20,2,13,1,16,3,29,12,14,27
7,26,19,4,6,24,21,18,15,10,23,5,17,25,29
22,8,9,7,26,19,11,4,28,21,16,24,6,29,18
7,26,19,4,22,21,24,8,6,18,9,11,16,29,28

10,0,4,23,15,24,22,13,1,3,16,12,25,27,2
26,18,20,11,17,19,14,8,7,21,9,5,28,6,2
22,10,0,23,1,15,13,4,25,24,12,27,16,2,29
13,28,22,27,10,29,23,1,2,25,12,24,6,15,3
0,1,22,29,4,12,10,25,16,15,2,24,23,27,13
5,11,14,17,8,26,18,20,19,7,9,25,21,4,3
29,25,13,22,27,23,10,24,1,3,12,2,5,4,15
19,20,18,26,21,7,11,17,8,14,9,5,6,28,2
11,17,26,14,20,18,19,8,7,5,21,9,28,6,29
27,23,10,13,1,22,16,15,25,3,0,24,2,12,29
7,21,19,18,26,17,20,11,8,14,5,9,16,6,3
10,24,23,13,15,4,0,3,22,16,12,25,27,1,2
20,19,26,18,11,17,14,8,7,21,5,9,28,6,29
19,20,11,18,26,17,8,14,21,7,5,9,28,6,29
20,19,26,11,17,18,14,8,7,21,5,9,28,6,2
20,19,11,17,26,14,8,18,7,21,5,28,9,6,2
0,10,15,4,1,23,24,16,22,13,2,12,3,27,25
6,21,1,2,9,0,7,18,16,28,26,8,19,20,17
5,20,19,11,17,14,26,18,8,7,21,9,28,29,25
27,23,10,13,1,25,22,24,0,2,12,15,4,29,3
19,20,26,18,11,17,14,7,8,21,5,9,28,6,29
26,18,7,17,11,8,20,19,14,21,9,5,3,16,12
20,26,19,18,11,14,17,8,7,5,21,9,28,29,25
0,10,15,1,4,23,24,16,2,22,13,12,3,27,25
19,21,20,7,26,5,17,8,11,18,14,6,9,3,24
20,19,26,11,18,17,14,8,21,7,5,9,28,6,12
6,2,1,21,9,0,28,16,27,7,18,12,19,20,26
7,18,26,17,8,14,11,20,19,9,21,5,6,28,16
25,4,24,22,13,23,3,10,29,15,0,12,16,5,27
7,6,29,20,19,14,5,26,11,17,18,9,28,25,13

